Body Type,Sex,How Often Shower,Heating Energy Source,Social Activity,How Long TV PC Daily Hour,Energy efficiency,Transport,Vehicle Type,Vehicle Monthly Distance Km,Frequency of Traveling by Air,Industry_Sector,Diet,Waste Bag Size,Waste Bag Weekly Count,How Many New Clothes Monthly,How Long Internet Daily Hour,Individual_Component,Transport_Component,Industry_Component,Scope3_Component,Unified_Target
underweight,female,twice a day,coal,often,18,Yes,walk/bicycle,none,92,rarely,Automotive Industry,omnivore,large,3,27,4,206,0.0,64808.56370013151,284,65298.56370013151
underweight,female,less frequently,electricity,sometimes,13,Sometimes,private,lpg,2893,rarely,Automotive Industry,vegan,large,6,16,10,106,795.8408432432433,64808.56370013151,200,65910.40454337475
obese,male,less frequently,natural gas,often,13,No,public,none,1989,rarely,Logistics,pescatarian,small,6,23,8,156,0.0,64706.229153879875,283,65145.229153879875
overweight,female,less frequently,electricity,never,9,No,public,none,692,very frequently,Steel Manufacturing,vegetarian,small,6,24,15,118,0.0,64683.60898531668,275,65076.60898531668
normal,male,more frequently,electricity,often,23,Sometimes,walk/bicycle,none,7,frequently,Logistics,pescatarian,extra large,4,42,14,156,0.0,64706.229153879875,354,65216.229153879875
overweight,female,daily,wood,often,1,Yes,public,none,948,rarely,Logistics,pescatarian,large,6,6,22,152,0.0,64706.229153879875,212,65070.229153879875
underweight,male,more frequently,electricity,often,6,Sometimes,private,petrol,7622,very frequently,Logistics,vegan,medium,2,37,9,112,1792.0795265328568,64706.229153879875,244,66854.30868041274
normal,female,more frequently,wood,often,15,No,walk/bicycle,none,51,never,Automotive Industry,omnivore,small,4,22,6,180,0.0,64808.56370013151,276,65264.56370013151
normal,male,twice a day,electricity,often,0,No,private,electric,2237,rarely,Cement Production,vegan,large,6,8,5,120,0.0,64722.400701292994,155,64997.400701292994
obese,female,less frequently,wood,never,6,No,public,none,1804,rarely,Steel Manufacturing,pescatarian,large,1,3,7,172,0.0,64683.60898531668,107,64962.60898531668
overweight,male,twice a day,wood,sometimes,14,Sometimes,walk/bicycle,none,85,never,Cement Production,omnivore,small,3,4,3,198,0.0,64722.400701292994,168,65088.400701292994
obese,male,daily,coal,often,17,Yes,private,diesel,472,frequently,Logistics,vegetarian,small,4,24,20,224,112.12292571428571,64706.229153879875,250,65292.35207959416
overweight,male,daily,coal,sometimes,5,Yes,private,diesel,5737,very frequently,Logistics,vegan,medium,1,20,20,180,1362.8161542857142,64706.229153879875,155,66404.04530816559
obese,female,less frequently,electricity,sometimes,17,Sometimes,walk/bicycle,none,88,rarely,Cement Production,pescatarian,medium,6,0,3,154,0.0,64722.400701292994,163,65039.400701292994
underweight,female,daily,electricity,often,4,Sometimes,public,none,558,frequently,Cement Production,vegan,large,4,50,23,98,0.0,64722.400701292994,353,65173.400701292994
obese,male,less frequently,electricity,sometimes,14,Sometimes,public,none,752,rarely,Cement Production,vegetarian,large,3,37,14,148,0.0,64722.400701292994,294,65164.400701292994
obese,male,daily,wood,never,10,No,walk/bicycle,none,71,rarely,Logistics,pescatarian,small,2,15,10,190,0.0,64706.229153879875,185,65081.229153879875
underweight,female,less frequently,electricity,never,13,Yes,public,none,1028,frequently,Logistics,omnivore,small,2,44,4,106,0.0,64706.229153879875,354,65166.229153879875
obese,female,more frequently,wood,sometimes,23,Yes,public,none,1527,frequently,Steel Manufacturing,vegan,medium,4,34,10,226,0.0,64683.60898531668,260,65169.60898531668
underweight,female,daily,coal,sometimes,24,Sometimes,walk/bicycle,none,88,frequently,Steel Manufacturing,vegetarian,large,5,8,15,198,0.0,64683.60898531668,180,65061.60898531668
normal,female,daily,natural gas,never,1,No,walk/bicycle,none,73,frequently,Logistics,pescatarian,medium,4,42,22,112,0.0,64706.229153879875,362,65180.229153879875
normal,female,daily,wood,often,9,Sometimes,private,lpg,8320,very frequently,Cement Production,pescatarian,small,5,0,4,158,2288.7645405405406,64722.400701292994,149,67318.16524183353
normal,male,twice a day,coal,sometimes,11,Yes,walk/bicycle,none,72,never,Cement Production,vegetarian,medium,6,4,10,202,0.0,64722.400701292994,170,65094.400701292994
underweight,female,less frequently,coal,often,1,Yes,walk/bicycle,none,9,very frequently,Steel Manufacturing,vegan,large,2,40,15,142,0.0,64683.60898531668,265,65090.60898531668
obese,male,daily,electricity,sometimes,16,Sometimes,walk/bicycle,none,60,frequently,Logistics,vegetarian,medium,2,14,20,162,0.0,64706.229153879875,170,65038.229153879875
underweight,male,twice a day,natural gas,sometimes,17,No,walk/bicycle,none,13,frequently,Steel Manufacturing,vegan,medium,5,6,15,154,0.0,64683.60898531668,140,64977.60898531668
underweight,male,less frequently,wood,never,15,Sometimes,walk/bicycle,none,32,rarely,Steel Manufacturing,omnivore,small,6,5,17,150,0.0,64683.60898531668,232,65065.60898531668
underweight,female,less frequently,coal,never,19,Yes,walk/bicycle,none,49,frequently,Automotive Industry,pescatarian,small,1,47,16,178,0.0,64808.56370013151,336,65322.56370013151
overweight,female,twice a day,electricity,never,20,Yes,public,none,1351,very frequently,Automotive Industry,omnivore,extra large,1,24,5,170,0.0,64808.56370013151,240,65218.56370013151
normal,female,more frequently,coal,often,15,No,public,none,1726,very frequently,Automotive Industry,vegetarian,medium,2,19,5,200,0.0,64808.56370013151,180,65188.56370013151
underweight,female,daily,electricity,sometimes,14,No,public,none,1021,never,Cement Production,omnivore,medium,7,48,10,118,0.0,64722.400701292994,455,65295.400701292994
normal,female,daily,coal,sometimes,22,Sometimes,walk/bicycle,none,62,rarely,Logistics,pescatarian,small,5,21,11,204,0.0,64706.229153879875,261,65171.229153879875
overweight,male,daily,wood,often,16,Yes,private,electric,9488,very frequently,Logistics,omnivore,small,5,20,18,182,0.0,64706.229153879875,293,65181.229153879875
normal,male,more frequently,wood,never,0,No,public,none,1037,very frequently,Logistics,vegetarian,large,4,11,24,150,0.0,64706.229153879875,189,65045.229153879875
underweight,male,less frequently,wood,never,13,Yes,private,electric,9555,never,Logistics,pescatarian,large,2,43,3,146,0.0,64706.229153879875,318,65170.229153879875
underweight,male,twice a day,electricity,never,1,Yes,private,diesel,9031,never,Automotive Industry,pescatarian,extra large,5,11,5,112,2145.3011485714283,64808.56370013151,205,67270.86484870294
overweight,female,more frequently,natural gas,sometimes,19,Sometimes,public,none,1461,frequently,Cement Production,vegetarian,large,7,5,12,168,0.0,64722.400701292994,192,65082.400701292994
overweight,female,daily,wood,never,22,Yes,walk/bicycle,none,39,very frequently,Cement Production,vegan,medium,3,7,9,194,0.0,64722.400701292994,109,65025.400701292994
obese,female,less frequently,natural gas,sometimes,0,No,private,diesel,5033,never,Automotive Industry,vegan,medium,6,43,24,130,1195.58196,64808.56370013151,349,66483.14566013151
underweight,male,daily,electricity,sometimes,22,Yes,public,none,1065,frequently,Cement Production,vegan,extra large,4,43,7,134,0.0,64722.400701292994,302,65158.400701292994
normal,male,less frequently,wood,often,18,Yes,public,none,927,rarely,Automotive Industry,pescatarian,medium,5,10,21,166,0.0,64808.56370013151,216,65190.56370013151
overweight,male,more frequently,electricity,never,0,Sometimes,private,hybrid,2277,frequently,Logistics,vegetarian,large,1,11,20,120,341.55,64706.229153879875,140,65307.77915387988
obese,female,more frequently,natural gas,never,13,Sometimes,walk/bicycle,none,97,rarely,Automotive Industry,omnivore,medium,7,18,0,176,0.0,64808.56370013151,295,65279.56370013151
normal,male,less frequently,coal,sometimes,4,No,private,lpg,7272,frequently,Logistics,vegan,large,2,38,5,158,2000.468237837838,64706.229153879875,245,67109.69739171771
obese,female,less frequently,electricity,sometimes,14,No,private,petrol,5260,rarely,Logistics,vegetarian,extra large,3,18,17,148,1236.7276711575475,64706.229153879875,202,66292.95682503743
overweight,female,more frequently,coal,often,9,Yes,public,none,1750,rarely,Steel Manufacturing,pescatarian,extra large,1,30,12,198,0.0,64683.60898531668,247,65128.60898531668
obese,male,daily,natural gas,often,0,Sometimes,private,hybrid,2998,frequently,Automotive Industry,vegetarian,small,4,36,3,140,449.7,64808.56370013151,293,65691.2637001315
underweight,male,less frequently,natural gas,sometimes,1,Yes,private,lpg,9147,rarely,Steel Manufacturing,pescatarian,extra large,5,49,20,92,2516.2655351351355,64683.60898531668,410,67701.87452045182
overweight,male,twice a day,electricity,never,23,Sometimes,public,none,1947,rarely,Automotive Industry,pescatarian,extra large,3,33,8,176,0.0,64808.56370013151,288,65272.56370013151
overweight,female,less frequently,electricity,often,21,Yes,private,lpg,4885,very frequently,Automotive Industry,vegetarian,large,1,21,3,142,1343.8238918918921,64808.56370013151,173,66467.3875920234
obese,female,daily,electricity,never,1,No,walk/bicycle,none,20,frequently,Steel Manufacturing,omnivore,large,4,6,14,132,0.0,64683.60898531668,204,65019.60898531668
obese,male,less frequently,coal,often,24,No,walk/bicycle,none,23,never,Steel Manufacturing,vegetarian,extra large,1,33,2,228,0.0,64683.60898531668,232,65143.60898531668
obese,male,twice a day,electricity,often,24,Yes,walk/bicycle,none,34,frequently,Automotive Industry,omnivore,large,5,15,10,198,0.0,64808.56370013151,260,65266.56370013151
obese,female,twice a day,coal,never,11,Yes,walk/bicycle,none,59,frequently,Cement Production,vegetarian,large,1,41,19,232,0.0,64722.400701292994,289,65243.400701292994
normal,female,less frequently,wood,often,0,Sometimes,public,none,682,never,Logistics,vegetarian,small,6,35,3,130,0.0,64706.229153879875,318,65154.229153879875
obese,female,less frequently,natural gas,often,20,Yes,walk/bicycle,none,10,never,Steel Manufacturing,vegetarian,large,6,12,24,170,0.0,64683.60898531668,224,65077.60898531668
normal,female,daily,electricity,sometimes,7,Sometimes,walk/bicycle,none,10,very frequently,Logistics,vegan,medium,1,22,17,114,0.0,64706.229153879875,162,64982.229153879875
normal,male,twice a day,coal,sometimes,16,No,private,petrol,7964,never,Cement Production,omnivore,small,1,43,9,212,1872.4903370910092,64722.400701292994,339,67145.891038384
underweight,female,twice a day,coal,often,16,Sometimes,private,hybrid,3606,rarely,Cement Production,omnivore,small,3,8,22,202,540.9,64722.400701292994,207,65672.30070129299
normal,male,less frequently,natural gas,sometimes,2,Yes,public,none,536,frequently,Cement Production,vegan,large,2,30,1,104,0.0,64722.400701292994,201,65027.400701292994
normal,male,more frequently,natural gas,never,4,No,public,none,1564,rarely,Steel Manufacturing,omnivore,large,5,15,23,128,0.0,64683.60898531668,273,65084.60898531668
obese,male,daily,electricity,never,11,No,walk/bicycle,none,78,frequently,Cement Production,vegan,small,4,21,3,152,0.0,64722.400701292994,188,65062.400701292994
normal,female,daily,wood,often,12,No,walk/bicycle,none,98,never,Steel Manufacturing,omnivore,small,1,47,3,164,0.0,64683.60898531668,353,65200.60898531668
normal,female,daily,wood,never,21,Yes,public,none,1820,very frequently,Cement Production,pescatarian,small,1,24,9,182,0.0,64722.400701292994,214,65118.400701292994
obese,male,more frequently,wood,never,20,Yes,public,none,243,never,Logistics,vegan,extra large,4,36,5,220,0.0,64706.229153879875,265,65191.229153879875
overweight,female,daily,natural gas,sometimes,8,Yes,public,none,1586,very frequently,Logistics,vegan,small,7,43,2,136,0.0,64706.229153879875,342,65184.229153879875
normal,female,daily,natural gas,never,6,No,walk/bicycle,none,11,frequently,Automotive Industry,omnivore,large,3,10,16,122,0.0,64808.56370013151,211,65141.56370013151
obese,female,twice a day,natural gas,never,15,Sometimes,walk/bicycle,none,72,never,Logistics,vegetarian,small,5,42,16,190,0.0,64706.229153879875,351,65247.229153879875
overweight,male,more frequently,electricity,never,19,No,public,none,1157,never,Automotive Industry,vegetarian,small,5,35,10,158,0.0,64808.56370013151,310,65276.56370013151
underweight,male,daily,wood,often,7,No,public,none,1380,never,Logistics,pescatarian,extra large,4,11,8,144,0.0,64706.229153879875,193,65043.229153879875
obese,male,less frequently,electricity,often,7,No,private,lpg,5765,never,Steel Manufacturing,vegetarian,medium,5,2,18,134,1585.904756756757,64683.60898531668,153,66556.51374207344
overweight,female,less frequently,natural gas,never,9,Yes,walk/bicycle,none,92,very frequently,Logistics,vegetarian,extra large,6,16,14,128,0.0,64706.229153879875,234,65068.229153879875
overweight,male,less frequently,electricity,never,22,Yes,private,lpg,7797,frequently,Automotive Industry,pescatarian,large,7,8,15,144,2144.891481081081,64808.56370013151,230,67327.45518121259
normal,female,twice a day,electricity,often,12,Yes,walk/bicycle,none,50,very frequently,Automotive Industry,vegan,small,3,35,22,144,0.0,64808.56370013151,262,65214.56370013151
normal,female,more frequently,wood,often,17,No,private,petrol,7629,frequently,Cement Production,vegetarian,medium,1,37,2,184,1793.7253618366785,64722.400701292994,252,66952.12606312968
overweight,male,daily,wood,sometimes,1,No,private,petrol,2367,frequently,Steel Manufacturing,vegetarian,medium,3,41,23,152,556.5274520208964,64683.60898531668,323,65715.13643733758
overweight,female,daily,wood,often,7,Yes,private,petrol,3960,frequently,Logistics,omnivore,medium,1,21,1,164,931.0725433049216,64706.229153879875,221,66022.3016971848
overweight,female,twice a day,coal,sometimes,19,Yes,walk/bicycle,none,42,rarely,Cement Production,vegan,extra large,2,15,10,228,0.0,64722.400701292994,135,65085.400701292994
normal,female,daily,coal,sometimes,15,Yes,private,lpg,6455,rarely,Logistics,omnivore,large,1,31,14,190,1775.7181621621623,64706.229153879875,284,66955.94731604203
overweight,female,more frequently,electricity,never,6,Sometimes,walk/bicycle,none,41,frequently,Logistics,vegetarian,large,4,2,4,132,0.0,64706.229153879875,124,64962.229153879875
overweight,female,daily,natural gas,often,24,Yes,walk/bicycle,none,71,never,Cement Production,pescatarian,medium,1,17,16,168,0.0,64722.400701292994,186,65076.400701292994
obese,male,twice a day,wood,never,16,No,walk/bicycle,none,39,never,Cement Production,vegetarian,medium,7,31,15,222,0.0,64722.400701292994,325,65269.400701292994
overweight,female,more frequently,coal,never,13,No,walk/bicycle,none,50,very frequently,Cement Production,vegetarian,extra large,1,29,24,206,0.0,64722.400701292994,234,65162.400701292994
overweight,female,twice a day,wood,sometimes,2,Sometimes,private,electric,8707,very frequently,Cement Production,vegan,medium,3,23,23,174,0.0,64722.400701292994,203,65099.400701292994
obese,female,twice a day,electricity,sometimes,9,Yes,private,lpg,167,very frequently,Cement Production,pescatarian,small,2,7,20,168,45.94034594594595,64722.400701292994,155,65091.34104723894
overweight,female,more frequently,natural gas,often,2,Sometimes,public,none,631,very frequently,Logistics,pescatarian,medium,7,0,18,134,0.0,64706.229153879875,193,65033.229153879875
overweight,male,twice a day,electricity,never,15,Sometimes,public,none,194,rarely,Cement Production,vegan,large,6,16,18,160,0.0,64722.400701292994,208,65090.400701292994
underweight,female,daily,coal,often,12,No,walk/bicycle,none,46,rarely,Steel Manufacturing,omnivore,medium,1,45,17,174,0.0,64683.60898531668,357,65214.60898531668
obese,male,more frequently,wood,never,15,Yes,walk/bicycle,none,37,frequently,Automotive Industry,vegetarian,extra large,3,29,3,210,0.0,64808.56370013151,243,65261.56370013151
overweight,male,less frequently,wood,sometimes,0,Sometimes,walk/bicycle,none,31,rarely,Cement Production,vegetarian,large,2,1,1,140,0.0,64722.400701292994,86,64948.400701292994
normal,male,twice a day,coal,often,10,Sometimes,private,lpg,2880,never,Cement Production,vegan,small,5,9,1,200,792.2646486486487,64722.400701292994,141,65855.66534994164
overweight,female,less frequently,wood,often,19,Yes,walk/bicycle,none,6,never,Logistics,pescatarian,extra large,2,49,19,178,0.0,64706.229153879875,364,65248.229153879875
underweight,female,more frequently,coal,sometimes,1,Sometimes,walk/bicycle,none,40,very frequently,Cement Production,pescatarian,small,6,35,7,162,0.0,64722.400701292994,342,65226.400701292994
overweight,male,more frequently,wood,never,9,No,walk/bicycle,none,1,frequently,Cement Production,vegan,large,6,24,24,178,0.0,64722.400701292994,254,65154.400701292994
overweight,female,more frequently,electricity,sometimes,22,Sometimes,public,none,1341,never,Cement Production,vegetarian,extra large,1,8,1,164,0.0,64722.400701292994,106,64992.400701292994
normal,female,twice a day,electricity,often,21,No,public,none,393,very frequently,Logistics,pescatarian,small,3,13,9,162,0.0,64706.229153879875,189,65057.229153879875
obese,female,daily,natural gas,never,2,Sometimes,public,none,191,frequently,Cement Production,vegan,medium,4,44,12,144,0.0,64722.400701292994,312,65178.400701292994
obese,female,twice a day,coal,sometimes,14,No,public,none,131,very frequently,Automotive Industry,pescatarian,extra large,1,20,23,238,0.0,64808.56370013151,208,65254.56370013151
underweight,male,daily,wood,often,8,Yes,private,diesel,1419,very frequently,Logistics,omnivore,large,5,43,20,146,337.08142285714285,64706.229153879875,410,65599.31057673701
normal,female,daily,electricity,never,2,No,private,electric,9159,rarely,Automotive Industry,vegan,small,7,26,16,104,0.0,64808.56370013151,271,65183.56370013151
obese,male,daily,wood,never,21,No,private,hybrid,8016,never,Logistics,vegetarian,small,3,14,16,212,1202.4,64706.229153879875,181,66301.62915387987
overweight,female,daily,electricity,never,24,No,walk/bicycle,none,87,never,Cement Production,omnivore,medium,3,32,23,158,0.0,64722.400701292994,328,65208.400701292994
underweight,female,twice a day,natural gas,never,15,Yes,walk/bicycle,none,3,rarely,Automotive Industry,vegan,small,5,3,12,150,0.0,64808.56370013151,122,65080.56370013151
underweight,female,twice a day,wood,often,19,Yes,walk/bicycle,none,13,frequently,Logistics,omnivore,extra large,1,44,16,188,0.0,64706.229153879875,351,65245.229153879875
normal,female,more frequently,electricity,never,6,No,walk/bicycle,none,74,never,Steel Manufacturing,omnivore,large,3,2,19,122,0.0,64683.60898531668,174,64979.60898531668
underweight,female,twice a day,wood,never,1,Yes,private,hybrid,7743,frequently,Cement Production,pescatarian,extra large,3,33,4,152,1161.45,64722.400701292994,284,66319.85070129299
underweight,female,more frequently,natural gas,never,11,Sometimes,public,none,993,never,Logistics,vegan,large,7,2,13,132,0.0,64706.229153879875,148,64986.229153879875
obese,female,twice a day,coal,sometimes,6,No,public,none,1997,rarely,Steel Manufacturing,omnivore,large,4,17,6,222,0.0,64683.60898531668,251,65156.60898531668
obese,female,more frequently,coal,never,23,No,private,electric,2721,rarely,Logistics,omnivore,small,6,30,22,246,0.0,64706.229153879875,362,65314.229153879875
normal,female,daily,coal,often,21,Yes,walk/bicycle,none,5,rarely,Steel Manufacturing,vegetarian,medium,7,0,4,202,0.0,64683.60898531668,159,65044.60898531668
obese,male,twice a day,wood,sometimes,24,No,public,none,941,rarely,Cement Production,vegan,large,1,3,18,238,0.0,64722.400701292994,68,65028.400701292994
underweight,male,more frequently,coal,sometimes,7,Sometimes,private,diesel,8815,frequently,Automotive Industry,vegan,small,2,37,9,174,2093.990657142857,64808.56370013151,244,67320.55435727436
normal,female,more frequently,wood,often,13,No,private,electric,3276,rarely,Steel Manufacturing,pescatarian,extra large,1,10,10,176,0.0,64683.60898531668,145,65004.60898531668
obese,male,twice a day,electricity,sometimes,8,Yes,private,hybrid,3309,never,Logistics,vegan,medium,5,16,20,166,496.35,64706.229153879875,195,65563.57915387987
obese,male,more frequently,wood,often,20,No,private,hybrid,2623,never,Cement Production,pescatarian,medium,2,31,12,220,393.45,64722.400701292994,267,65602.85070129299
obese,female,twice a day,electricity,often,15,Sometimes,private,diesel,7915,very frequently,Steel Manufacturing,omnivore,large,1,10,18,180,1880.1969428571429,64683.60898531668,183,66926.80592817382
underweight,male,less frequently,electricity,sometimes,17,Yes,private,lpg,8897,frequently,Logistics,vegan,small,3,3,24,114,2447.4925621621624,64706.229153879875,104,67371.72171604204
underweight,female,twice a day,natural gas,often,22,Sometimes,walk/bicycle,none,19,never,Logistics,vegetarian,medium,1,36,7,164,0.0,64706.229153879875,252,65122.229153879875
underweight,male,daily,natural gas,often,9,Yes,private,electric,3662,frequently,Logistics,omnivore,small,2,44,21,118,0.0,64706.229153879875,371,65195.229153879875
obese,male,twice a day,coal,never,12,Sometimes,private,petrol,611,never,Steel Manufacturing,vegan,large,6,37,5,234,143.6579100907341,64683.60898531668,300,65361.26689540741
overweight,male,twice a day,wood,never,1,Yes,public,none,1431,very frequently,Steel Manufacturing,omnivore,large,6,33,3,172,0.0,64683.60898531668,358,65213.60898531668
normal,male,twice a day,wood,sometimes,14,Yes,public,none,1978,never,Steel Manufacturing,pescatarian,medium,3,36,11,188,0.0,64683.60898531668,306,65177.60898531668
underweight,male,daily,electricity,sometimes,8,No,walk/bicycle,none,92,very frequently,Automotive Industry,vegan,extra large,2,29,18,106,0.0,64808.56370013151,213,65127.56370013151
obese,male,daily,coal,often,10,No,walk/bicycle,none,82,frequently,Steel Manufacturing,omnivore,large,1,23,16,210,0.0,64683.60898531668,246,65139.60898531668
obese,female,daily,coal,never,15,Yes,public,none,1851,very frequently,Steel Manufacturing,pescatarian,large,7,0,20,220,0.0,64683.60898531668,195,65098.60898531668
underweight,female,twice a day,wood,sometimes,7,Sometimes,public,none,1224,rarely,Steel Manufacturing,vegetarian,extra large,3,26,9,164,0.0,64683.60898531668,234,65081.60898531668
overweight,male,more frequently,wood,sometimes,18,Sometimes,private,electric,8219,never,Automotive Industry,pescatarian,extra large,5,2,5,196,0.0,64808.56370013151,160,65164.56370013151
obese,female,less frequently,coal,sometimes,19,No,public,none,1390,never,Steel Manufacturing,omnivore,extra large,4,2,7,218,0.0,64683.60898531668,177,65078.60898531668
overweight,male,less frequently,wood,sometimes,23,No,public,none,434,frequently,Logistics,vegan,medium,1,41,14,186,0.0,64706.229153879875,254,65146.229153879875
underweight,male,less frequently,wood,sometimes,5,Sometimes,private,hybrid,7460,never,Steel Manufacturing,vegan,small,6,11,20,130,1119.0,64683.60898531668,185,66117.60898531668
normal,female,more frequently,wood,never,20,Sometimes,walk/bicycle,none,15,rarely,Logistics,vegan,small,1,50,18,190,0.0,64706.229153879875,303,65199.229153879875
underweight,male,less frequently,natural gas,never,0,No,private,diesel,4686,very frequently,Logistics,vegetarian,extra large,2,47,2,90,1113.1526057142858,64706.229153879875,317,66226.38175959417
normal,female,daily,electricity,often,12,Sometimes,walk/bicycle,none,88,never,Logistics,vegetarian,large,5,39,21,124,0.0,64706.229153879875,341,65171.229153879875
normal,female,less frequently,electricity,sometimes,21,Yes,walk/bicycle,none,40,very frequently,Automotive Industry,pescatarian,extra large,2,43,2,132,0.0,64808.56370013151,317,65257.56370013151
normal,male,more frequently,wood,never,11,No,walk/bicycle,none,56,never,Automotive Industry,pescatarian,small,6,49,20,172,0.0,64808.56370013151,425,65405.56370013151
overweight,female,less frequently,coal,sometimes,22,Yes,walk/bicycle,none,14,very frequently,Automotive Industry,vegan,extra large,6,2,22,204,0.0,64808.56370013151,142,65154.56370013151
normal,male,less frequently,wood,sometimes,17,No,public,none,108,very frequently,Steel Manufacturing,vegan,medium,1,19,11,164,0.0,64683.60898531668,141,64988.60898531668
obese,female,less frequently,natural gas,often,1,No,private,electric,5168,never,Logistics,omnivore,small,3,40,17,132,0.0,64706.229153879875,362,65200.229153879875
normal,male,more frequently,coal,never,24,No,private,petrol,672,frequently,Automotive Industry,vegan,small,3,34,18,218,158.00018916689578,64808.56370013151,253,65437.563889298406
obese,female,less frequently,natural gas,sometimes,17,Sometimes,walk/bicycle,none,94,very frequently,Automotive Industry,vegan,extra large,3,21,22,164,0.0,64808.56370013151,192,65164.56370013151
obese,female,daily,wood,sometimes,14,Sometimes,private,petrol,3114,rarely,Steel Manufacturing,vegetarian,large,3,5,10,198,732.1615908715974,64683.60898531668,130,65743.77057618827
normal,female,twice a day,natural gas,never,5,Yes,private,lpg,7134,rarely,Automotive Industry,vegetarian,extra large,2,8,5,140,1962.505556756757,64808.56370013151,125,67036.06925688827
overweight,female,more frequently,coal,sometimes,6,Yes,private,diesel,8609,rarely,Steel Manufacturing,vegan,extra large,6,14,20,192,2045.0556514285715,64683.60898531668,200,67120.66463674525
normal,female,less frequently,natural gas,often,16,No,public,none,852,never,Cement Production,omnivore,extra large,1,32,10,132,0.0,64722.400701292994,285,65139.400701292994
obese,male,less frequently,natural gas,never,16,Yes,public,none,1673,rarely,Automotive Industry,vegetarian,medium,6,50,14,162,0.0,64808.56370013151,404,65374.56370013151
normal,female,more frequently,coal,often,9,Yes,public,none,1564,very frequently,Cement Production,vegetarian,large,7,17,15,188,0.0,64722.400701292994,255,65165.400701292994
normal,female,more frequently,wood,often,3,Yes,walk/bicycle,none,74,rarely,Steel Manufacturing,vegan,small,7,17,22,156,0.0,64683.60898531668,232,65071.60898531668
normal,female,daily,natural gas,sometimes,3,Sometimes,private,petrol,2885,rarely,Logistics,omnivore,small,4,33,21,116,678.3192645037118,64706.229153879875,346,65846.54841838358
normal,male,twice a day,natural gas,never,7,Sometimes,private,petrol,8130,rarely,Automotive Industry,vegan,large,7,27,0,144,1911.5201457244982,64808.56370013151,260,67124.083845856
overweight,female,twice a day,wood,often,2,No,public,none,228,very frequently,Steel Manufacturing,vegetarian,extra large,3,40,17,174,0.0,64683.60898531668,312,65169.60898531668
normal,female,more frequently,wood,sometimes,1,Sometimes,public,none,1162,never,Logistics,vegetarian,medium,4,20,7,152,0.0,64706.229153879875,217,65075.229153879875
normal,male,less frequently,wood,never,10,No,public,none,71,never,Logistics,pescatarian,medium,2,24,12,150,0.0,64706.229153879875,232,65088.229153879875
obese,female,twice a day,natural gas,never,13,Sometimes,private,diesel,6337,frequently,Cement Production,omnivore,extra large,4,1,0,186,1505.345297142857,64722.400701292994,165,66578.74599843586
normal,male,more frequently,natural gas,never,8,Sometimes,public,none,1649,rarely,Steel Manufacturing,vegan,small,4,21,2,136,0.0,64683.60898531668,187,65006.60898531668
underweight,female,daily,natural gas,often,6,Yes,private,diesel,6159,very frequently,Logistics,omnivore,small,2,5,19,112,1463.0616514285714,64706.229153879875,174,66455.29080530844
